ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0006909	phagocytosis	15/226	228/18842	0.0657894736842105	5.48497904052166	7.50707916592229	1.12598261999606e-07	0.000662077780557684	0.000662077780557684	ENSG00000224389/ENSG00000108691/ENSG00000095970/ENSG00000160255/ENSG00000128271/ENSG00000172936/ENSG00000100365/ENSG00000150337/ENSG00000170458/ENSG00000244731/ENSG00000137462/ENSG00000018280/ENSG00000261371/ENSG00000125810/ENSG00000171631	15
BP	GO:0006959	humoral immune response	15/226	296/18842	0.0506756756756757	4.22491628796939	6.16172317087299	3.07358372106652e-06	0.00590558264973663	0.00590558264973663	ENSG00000224389/ENSG00000108691/ENSG00000095970/ENSG00000148926/ENSG00000159189/ENSG00000211899/ENSG00000143184/ENSG00000160224/ENSG00000173372/ENSG00000244731/ENSG00000018280/ENSG00000179344/ENSG00000132465/ENSG00000155659/ENSG00000173369	15
BP	GO:2000425	regulation of apoptotic cell clearance	4/226	10/18842	0.4	33.3486725663717	11.2738239970939	3.99974498571462e-06	0.00590558264973663	0.00590558264973663	ENSG00000224389/ENSG00000108691/ENSG00000095970/ENSG00000244731	4
BP	GO:0045730	respiratory burst	6/226	36/18842	0.166666666666667	13.8952802359882	8.53290338377441	4.01740316308614e-06	0.00590558264973663	0.00590558264973663	ENSG00000095970/ENSG00000100365/ENSG00000178927/ENSG00000018280/ENSG00000132465/ENSG00000128340	6
BP	GO:0006958	complement activation, classical pathway	6/226	39/18842	0.153846153846154	12.8264125255276	8.14581914504489	6.53025906158808e-06	0.00767958465642758	0.00767958465642758	ENSG00000224389/ENSG00000095970/ENSG00000159189/ENSG00000173372/ENSG00000244731/ENSG00000173369	6
BP	GO:0009611	response to wounding	19/226	496/18842	0.0383064516129032	3.19367328004568	5.45512991994506	9.09053562370917e-06	0.00890872491123498	0.00890872491123498	ENSG00000142512/ENSG00000095970/ENSG00000115956/ENSG00000026508/ENSG00000197747/ENSG00000128271/ENSG00000078401/ENSG00000189058/ENSG00000121933/ENSG00000163823/ENSG00000167772/ENSG00000115718/ENSG00000161638/ENSG00000177791/ENSG00000138685/ENSG00000018280/ENSG00000102362/ENSG00000118785/ENSG00000132470	19
BP	GO:0006956	complement activation	7/226	65/18842	0.107692307692308	8.9784887678693	7.099491153821	1.25502931559291e-05	0.00979764657804647	0.00979764657804647	ENSG00000224389/ENSG00000095970/ENSG00000159189/ENSG00000173372/ENSG00000244731/ENSG00000155659/ENSG00000173369	7
BP	GO:0002455	humoral immune response mediated by circulating immunoglobulin	6/226	44/18842	0.136363636363636	11.3688656476267	7.58690720146477	1.34398194287113e-05	0.00979764657804647	0.00979764657804647	ENSG00000224389/ENSG00000095970/ENSG00000159189/ENSG00000173372/ENSG00000244731/ENSG00000173369	6
BP	GO:0045766	positive regulation of angiogenesis	11/226	185/18842	0.0594594594594595	4.95723511121741	5.95963718728379	1.49963978235405e-05	0.00979764657804647	0.00979764657804647	ENSG00000134817/ENSG00000160255/ENSG00000133048/ENSG00000148926/ENSG00000240583/ENSG00000004776/ENSG00000167772/ENSG00000159216/ENSG00000161638/ENSG00000138685/ENSG00000159399	11
BP	GO:1904018	positive regulation of vasculature development	11/226	189/18842	0.0582010582010582	4.85232008240858	5.86464773399652	1.83171440689807e-05	0.0107704807125607	0.0107704807125607	ENSG00000134817/ENSG00000160255/ENSG00000133048/ENSG00000148926/ENSG00000240583/ENSG00000004776/ENSG00000167772/ENSG00000159216/ENSG00000161638/ENSG00000138685/ENSG00000159399	11
BP	GO:0042116	macrophage activation	8/226	101/18842	0.0792079207920792	6.60369753789538	6.22159879428618	2.93543223863595e-05	0.0156912196028903	0.0156912196028903	ENSG00000095970/ENSG00000160255/ENSG00000173372/ENSG00000168884/ENSG00000018280/ENSG00000115594/ENSG00000155659/ENSG00000125810	8
BP	GO:1903131	mononuclear cell differentiation	16/226	439/18842	0.0364464692482916	3.03860342290403	4.76193765707354	8.46925002862644e-05	0.0414993251402696	0.0414993251402696	ENSG00000095970/ENSG00000106565/ENSG00000105647/ENSG00000159189/ENSG00000211899/ENSG00000136997/ENSG00000180353/ENSG00000106952/ENSG00000159216/ENSG00000160224/ENSG00000137462/ENSG00000163501/ENSG00000160223/ENSG00000187736/ENSG00000121152/ENSG00000002933	16
BP	GO:0098883	synapse pruning	4/226	21/18842	0.19047619047619	15.8803202697008	7.51732952077981	0.000102755148242118	0.0464769439741273	0.0464769439741273	ENSG00000095970/ENSG00000159189/ENSG00000173372/ENSG00000173369	4
CC	GO:0106139	symbiont cell surface	5/238	20/19979	0.25	20.9863445378151	9.81881070017328	3.08166013018139e-06	0.00235746999958877	0.00235746999958877	ENSG00000224389/ENSG00000159189/ENSG00000173372/ENSG00000244731/ENSG00000173369	5
CC	GO:0030667	secretory granule membrane	15/238	325/19979	0.0461538461538462	3.87440206851972	5.73645551446278	8.88903489477364e-06	0.00340005584725092	0.00340005584725092	ENSG00000026508/ENSG00000160255/ENSG00000188488/ENSG00000110719/ENSG00000171051/ENSG00000170458/ENSG00000137462/ENSG00000018280/ENSG00000204577/ENSG00000135926/ENSG00000102362/ENSG00000125409/ENSG00000261371/ENSG00000125810/ENSG00000142583	15
CC	GO:0044217	other organism part	5/238	36/19979	0.138888888888889	11.6590802987862	7.02838670159995	6.41460279928563e-05	0.0163572371381783	0.0163572371381783	ENSG00000224389/ENSG00000159189/ENSG00000173372/ENSG00000244731/ENSG00000173369	5
MF	GO:0001848	complement binding	5/234	25/18706	0.2	15.9880341880342	8.44003882041537	1.27113607159401e-05	0.00922281606085038	0.00922281606085038	ENSG00000224389/ENSG00000160255/ENSG00000244731/ENSG00000155659/ENSG00000125810	5
MF	GO:0140375	immune receptor activity	11/234	184/18706	0.0597826086956522	4.77903195837978	5.79796195457307	2.10483701839982e-05	0.00922281606085038	0.00922281606085038	ENSG00000026508/ENSG00000171051/ENSG00000163823/ENSG00000150337/ENSG00000183542/ENSG00000145623/ENSG00000187116/ENSG00000179344/ENSG00000204577/ENSG00000163701/ENSG00000115594	11
MF	GO:0019864	IgG binding	4/234	14/18706	0.285714285714286	22.8400488400488	9.20067228268831	2.16498029597427e-05	0.00922281606085038	0.00922281606085038	ENSG00000159189/ENSG00000150337/ENSG00000173372/ENSG00000173369	4
MF	GO:0019865	immunoglobulin binding	5/234	30/18706	0.166666666666667	13.3233618233618	7.60287271351544	3.23995483097181e-05	0.00986502230865632	0.00986502230865632	ENSG00000159189/ENSG00000150337/ENSG00000173372/ENSG00000132465/ENSG00000173369	5
MF	GO:0042834	peptidoglycan binding	4/234	16/18706	0.25	19.9850427350427	8.55060303712163	3.8595548938405e-05	0.00986502230865632	0.00986502230865632	ENSG00000095970/ENSG00000211899/ENSG00000137462/ENSG00000132465	4
MF	GO:0001846	opsonin binding	4/234	21/18706	0.19047619047619	15.2266992266992	7.34170738898932	0.000120829698265467	0.0257367257305445	0.0257367257305445	ENSG00000160255/ENSG00000244731/ENSG00000155659/ENSG00000125810	4
MF	GO:0072341	modified amino acid binding	7/234	94/18706	0.074468085106383	5.95299145299145	5.41832197164117	0.000178135160228466	0.0325223906817114	0.0325223906817114	ENSG00000095970/ENSG00000006747/ENSG00000159189/ENSG00000173372/ENSG00000134184/ENSG00000124713/ENSG00000173369	7
